tick,time_s,blue-0_team,blue-0_profile,blue-1_team,blue-1_profile,blue-2_team,blue-2_profile,orange-0_team,orange-0_profile,orange-1_team,orange-1_profile,orange-2_team,orange-2_profile
14336,119.46666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14344,119.53333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14352,119.6,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14360,119.66666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14368,119.73333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14376,119.8,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14384,119.86666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14392,119.93333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14400,120.0,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14408,120.06666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14416,120.13333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14424,120.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14432,120.26666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14440,120.33333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14448,120.4,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14456,120.46666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14464,120.53333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14472,120.6,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14480,120.66666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14488,120.73333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14496,120.8,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14504,120.86666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14512,120.93333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14520,121.0,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14528,121.06666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14536,121.13333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14544,121.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14552,121.26666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14560,121.33333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14568,121.4,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14576,121.46666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14584,121.53333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
